coin,date_added,max_supply,circulating_supply,total_supply,market_cap,Volume24h,price
BYND,2020-12-08T00:00:00.000Z,,0.0,0.0,0.0,13598.176578,135.46428933652396
CAP,2020-12-22T00:00:00.000Z,99999.0,0.0,99999.0,0.0,13514.34014533,6.71524507041554
USDL,2020-10-10T00:00:00.000Z,,0.0,10000000.0,0.0,13394.68652186,0.99947488101736
SETH,2020-06-28T00:00:00.000Z,,0.0,29935.4,0.0,13281.60907636,2893.530571383388
CPAY,2020-03-23T00:00:00.000Z,5555555.0,0.0,5555555.0,0.0,13204.91906551,0.04154353928464
HUB,2020-12-14T00:00:00.000Z,1750000000.0,0.0,0.0,0.0,13209.14598553,0.00635138973081
ACC,2020-01-10T00:00:00.000Z,,0.0,1000000000.0,0.0,13186.60072604,0.10609789483427
PIGX,2020-12-14T00:00:00.000Z,21000000.0,0.0,0.0,0.0,13172.13494356,0.10160386750763
ARCC,2020-12-02T00:00:00.000Z,88616203378.0,0.0,0.0,0.0,12932.11649882,0.08505231241502
TAO,2021-03-16T00:00:00.000Z,50000000.0,0.0,0.0,0.0,12773.13300181,0.0880803150037
ACE,2020-06-22T00:00:00.000Z,2000000000.0,0.0,2000000000.0,0.0,8928.61186226,0.01049985166478
777,2021-01-18T00:00:00.000Z,70000000.0,0.0,70000000.0,0.0,12687.97591626,0.16082311425917
DEXM,2021-02-23T00:00:00.000Z,50000000.0,0.0,0.0,0.0,12210.28612168,0.07343173544422
ALOHA,2021-02-22T00:00:00.000Z,100000000.0,0.0,0.0,0.0,12103.99599303,0.03956510453164
PSI,2021-01-12T00:00:00.000Z,50.0,0.0,0.0,0.0,12142.16574733,357.39687703898755
AIB,2015-04-30T00:00:00.000Z,,0.0,31413254179.6,0.0,12126.48388811,0.01677976092227
HBT,2017-10-09T00:00:00.000Z,,0.0,31801783.65982096,0.0,12059.93171435,1.88494873362262
UNO,2013-12-21T00:00:00.000Z,,0.0,203328.411519,0.0,12016.86664181,59.06782372862766
PNIX,2021-04-06T00:00:00.000Z,48661181.0,0.0,48661181.0,0.0,11944.58251232,0.02940249376038
EXRT,2021-03-16T00:00:00.000Z,1000000000.0,0.0,0.0,0.0,11887.6005661,0.0045026810622
ECTE,2019-02-14T00:00:00.000Z,,0.0,100000000.0,0.0,11909.46027164,0.04319180355541
DEBASE,2020-12-07T00:00:00.000Z,,0.0,0.0,0.0,11605.41317269,0.66056774401654
UWL,2020-11-19T00:00:00.000Z,,0.0,10000000.0,0.0,11573.09940784,0.84819789849696
WSHIFT,2021-02-02T00:00:00.000Z,145610870.0,0.0,0.0,0.0,11453.95752889,0.02733311294643
ASP,2020-10-28T00:00:00.000Z,1000000000.0,0.0,0.0,0.0,11412.2726927,0.61528673184974
WHX,2021-03-25T00:00:00.000Z,200000000.0,0.0,0.0,0.0,11220.7720611,0.00381019612297
DEFI+S,2020-10-06T00:00:00.000Z,,0.0,0.0,0.0,11234.27885426,6.0287567022466
ISAL,2021-01-18T00:00:00.000Z,971210313.0,0.0,0.0,0.0,10978.71402333,0.23999523807941
VCCO,2020-10-08T00:00:00.000Z,,0.0,0.0,0.0,10816.72867443,2.36305475665423
CIR,2021-01-04T00:00:00.000Z,1010000.0,0.0,0.0,0.0,10799.72556394,0.72008537952815
YOK,2020-09-11T00:00:00.000Z,150000000.0,0.0,0.0,0.0,10616.24047494,0.11249771586851
SHX,2019-01-03T00:00:00.000Z,100000000000.0,0.0,100000000000.0,0.0,10624.93530011,0.00295313063399
BLINK,2019-07-08T00:00:00.000Z,,0.0,5000000000.0,0.0,10581.15355691,0.00100249485798
YFOX,2020-10-05T00:00:00.000Z,23000.0,0.0,23000.0,0.0,10936.13359915,20.70298513027024
SPICE,2020-12-16T00:00:00.000Z,,0.0,42000000.0,0.0,10386.0675724,0.51154117294539
DJ15,2020-12-15T00:00:00.000Z,2100000.0,0.0,0.0,0.0,10335.58768295,226.1414669165896
THS,2020-08-24T00:00:00.000Z,1000000000.0,0.0,1000000000.0,0.0,10253.4153533,0.51322351683257
FLO,2021-03-10T00:00:00.000Z,300000.0,0.0,0.0,0.0,10274.58036322,0.42283422986288
CENT,2019-01-08T00:00:00.000Z,5000000000.0,0.0,3500002431.62882,0.0,9713.187338,0.00046007362168
BAEPAY,2020-11-12T00:00:00.000Z,,0.0,0.0,0.0,10067.2040242,0.40357134818365
ALG,2020-04-24T00:00:00.000Z,15300000.0,0.0,15300000.0,0.0,10082.93828947,0.29280259565544
CROW,2021-02-20T00:00:00.000Z,20962.0,0.0,0.0,0.0,9954.9191055,175.91654540268712
VBK,2019-04-05T00:00:00.000Z,2100000000.0,0.0,1000519234.6616472,0.0,9855.7218671,0.01446627546406
ROBO,2021-04-01T00:00:00.000Z,,0.0,0.0,0.0,9835.55409396,0.03194688453027
WLEO,2020-09-29T00:00:00.000Z,10000000.0,0.0,10000000.0,0.0,9749.93831328,0.63605052609347
ESPRO,2021-03-09T00:00:00.000Z,,0.0,0.0,0.0,9697.06848552,0.06970736688528
IFUND,2021-03-10T00:00:00.000Z,36680016.0,0.0,0.0,0.0,9590.38584163,0.03442899316831
BFI,2020-11-11T00:00:00.000Z,200000.0,0.0,0.0,0.0,9635.52994882,6.00388087261986
BRN,2021-04-07T00:00:00.000Z,10000000.0,0.0,0.0,0.0,9650.5152223,0.01215792637761
BNBBEAR,2020-03-11T00:00:00.000Z,,0.0,21766.644855,0.0,9570.56670697,2.7502583e-07
WANSUSHI,2021-03-02T00:00:00.000Z,210000000.0,0.0,0.0,0.0,9632.87786265,15.43906743327699
CRS,2021-02-26T00:00:00.000Z,100000000.0,0.0,0.0,0.0,9380.74878516,0.00937525383148
YFFS,2020-09-03T00:00:00.000Z,60000.0,0.0,0.0,0.0,9469.07980752,1.89786993027557
SPORE,2020-10-23T00:00:00.000Z,,0.0,0.0,0.0,9283.77558867,23.28364500323679
ESRC,2020-08-31T00:00:00.000Z,75855875.0,0.0,75855875.0,0.0,9176.1826844,0.26561814668244
TTC,2021-01-29T00:00:00.000Z,10000000.0,0.0,0.0,0.0,9067.88747879,0.78209731799963
FRIDGE,2021-03-31T00:00:00.000Z,,0.0,0.0,0.0,8981.7720766,1.65568788307119
GM,2020-06-19T00:00:00.000Z,100000000.0,0.0,99999000.0,0.0,8907.09263336,0.0364455589537
NEU,2017-12-28T00:00:00.000Z,1500000000.0,0.0,66020166.57434506,0.0,8892.34641467,0.29419409258052
CIPHC,2020-07-14T00:00:00.000Z,2000000000.0,0.0,200000000.0,0.0,8808.25117888,33.10479643634752
TACO,2021-03-01T00:00:00.000Z,,0.0,0.0,0.0,8809.23970847,0.03095017653464
WDC,2013-05-22T00:00:00.000Z,,0.0,0.0,0.0,8745.3970762,0.11889764086517
FMA,2020-07-22T00:00:00.000Z,50000000.0,0.0,40886294.92697,0.0,8828.21733619,0.01925775949979
MEE,2020-11-12T00:00:00.000Z,50000000.0,0.0,0.0,0.0,8641.91997029,2.26365855476341
BNA,2020-07-01T00:00:00.000Z,2800000000.0,0.0,1800000000.0,0.0,8581.36916679,0.07999841269314
DEOR,2021-03-04T00:00:00.000Z,,0.0,0.0,0.0,8615.43041236,0.01614740104159
TGIC,2020-05-07T00:00:00.000Z,1000000000.0,0.0,1000000000.0,0.0,8578.25873291,0.00225540759202
PFID,2020-09-14T00:00:00.000Z,300000.0,0.0,300000.0,0.0,8690.12725737,32.36205841480171
DOTX,2020-08-31T00:00:00.000Z,6000000.0,0.0,6000000.0,0.0,8633.87894606,0.29949788261498
OVOA,2020-11-24T00:00:00.000Z,1000000.0,0.0,0.0,0.0,8386.08706708,1309.7430792619657
VRAP,2021-03-09T00:00:00.000Z,100000000.0,0.0,0.0,0.0,8221.13533284,0.06282987695131
DFX,2020-09-07T00:00:00.000Z,0.0,0.0,0.0,0.0,8161.81842021,2.13391683833055
GYA,2021-04-02T00:00:00.000Z,30142.0,0.0,0.0,0.0,8132.7294428,1.34687192527857
PLA,2019-02-08T00:00:00.000Z,,0.0,49999999999.9999,0.0,8095.46542794,0.00120202291908
BRZX,2020-08-08T00:00:00.000Z,21000000.0,0.0,0.0,0.0,7943.0905132,0.03125823976394
SWFL,2020-08-31T00:00:00.000Z,30000000.0,0.0,0.0,0.0,7896.76777986,0.11198309175188
yVault LP-yCurve(YYCRV),2020-08-24T00:00:00.000Z,41784580.0,0.0,0.0,0.0,7858.63239284,1.30000041145942
BLFI,2021-02-13T00:00:00.000Z,139986.0,0.0,0.0,0.0,7619.82628972,5.2422312667183
DSWAP,2021-01-06T00:00:00.000Z,6672200.0,0.0,0.0,0.0,7647.72473291,1.99442362167763
VRO,2020-05-05T00:00:00.000Z,170000000000.0,0.0,0.0,0.0,7639.67613491,57.31858087636192
NVDA,2020-12-08T00:00:00.000Z,,0.0,0.0,0.0,7634.16375,601.0
PXT,2021-04-20T00:00:00.000Z,500000000.0,0.0,500000000.0,0.0,7620.46496124,0.14650838242182
TUDA,2019-10-18T00:00:00.000Z,,0.0,600000000.0,0.0,7566.86166002,0.0150410243301
MORK,2020-08-24T00:00:00.000Z,10000000.0,0.0,0.0,0.0,7523.83140347,2.8846006481177
FETA,2021-04-01T00:00:00.000Z,333333333.0,0.0,0.0,0.0,7524.12291477,0.01430715100075
YFTE,2021-01-18T00:00:00.000Z,,0.0,0.0,0.0,7441.51103846,68.25239547697247
HEBE,2020-04-06T00:00:00.000Z,,0.0,1000000000.0,0.0,7312.72722876,0.01441071406651
MRS,2021-03-01T00:00:00.000Z,10000000.0,0.0,0.0,0.0,7341.3513901,0.08178227629135
XPT,2020-11-25T00:00:00.000Z,200000000.0,0.0,0.0,0.0,7350.79461834,1.27376562628701
WHEAT,2021-04-14T00:00:00.000Z,,0.0,0.0,0.0,7372.37862473,16.19986136273179
EFAR,2020-10-09T00:00:00.000Z,380000000.0,0.0,0.0,0.0,7357.63165728,0.23339069912488
BASI,2021-03-16T00:00:00.000Z,5500000.0,0.0,0.0,0.0,7528.8317273,0.22639765612644
SATVG,2021-03-29T00:00:00.000Z,16500000.0,0.0,16500000.0,0.0,7189.45746346,0.04204326328129
